Data Recorder CSV-File Format
PC Time (yyyy:mm:dd/h m s ms);2020/2/5 13h45m47s
Last Sample (d h m s ms);2h4m39s796ms
Sampling Rate (h m s ms);20ms
Minimum Sampling Time (h m s ms);0ms
Average Sampling Time (h m s ms);31ms
Maximum Sampling Time (h m s ms);63ms
Channel(s);8
Description;TYPE;Color;Width;0-Axis; Lowest Value; Highest Value; Address
h1_line_speed;REAL;0;0;5;0,;286,9656372;DLD0
h1_product_len;REAL;255;0;30;14,8419323;591,5266724;DLD2
h1_tension_1_avg;REAL;65280;0;55;526,6845093;561,9533691;DDT1038
h1_on_baord_ten_raw;REAL;16711680;0;80;0,5568000078;0,6047999859;DDT1104
h1_wrap_ten;REAL;8421504;0;105;-4,879947186;0,4807486832;DDT1130
h1_std_dev;REAL;8750591;0;130;1,606152207e-002;0,3629674613;DDT1132
h1_tape_ten_vdc;REAL;26367;0;155;0,;0,;DDT1080
h1_flyer_rpm;REAL;32768;0;180;0,;459,1450195;DDT1066
Number of Samples;239400

Time;h1_line_speed;h1_product_len;h1_tension_1_avg;h1_on_baord_ten_raw;h1_wrap_ten;h1_std_dev;h1_tape_ten_vdc;h1_flyer_rpm;
0:0:1:421;57,52884674;14,86256123;549,8505249;0,5751999617;-3,067875385;0,2043212354;0,;92,04615784;
0:0:1:453;57,52884674;14,86423683;549,9716187;0,5751999617;-3,063921213;0,2059220672;0,;92,04615784;
0:0:1:468;57,52884674;14,86423683;550,0340576;0,5751999617;-3,060154915;0,2063039988;0,;92,04615784;
0:0:1:500;57,52884674;14,86423683;550,1228638;0,5751999617;-3,055824041;0,2058841735;0,;92,04615784;
0:0:1:530;57,52884674;14,86591244;550,3065186;0,5751999617;-3,050174952;0,2049152702;0,;92,04615784;
0:0:1:578;57,52884674;14,86591244;550,53125;0,5744000077;-3,045844078;0,2038462907;0,;92,04615784;
0:0:1:593;57,52884674;14,86591244;550,7949219;0,5744000077;-3,04226613;0,2024139911;0,;92,04615784;
0:0:1:625;57,52884674;14,86733627;551,098877;0,5735999942;-3,039253473;0,2011787146;0,;92,04615784;
0:0:1:655;57,52884674;14,86733627;551,3110962;0,5727999806;-3,037746906;0,2004522979;0,;92,04615784;
0:0:1:687;57,52884674;14,86733627;551,4984741;0,5719999671;-3,037181854;0,200176686;0,;92,04615784;
